config,encoder,physics,masked_stream,test_acc,test_macro_f1,risk_r2_mean,band_acc_mean,risk_mae_h0,risk_r2_h0,risk_mae_h1,risk_r2_h1,risk_mae_h2,risk_r2_h2,risk_mae_h3,risk_r2_h3,trainable_params_M
FULL (ViT + climate + graph + physics),sage,True,-,0.9768112301826477,0.949027573629596,0.6938070066202879,0.7702745050191879,0.08725368231534958,0.7185309386142401,0.08970776945352554,0.6899813609242373,0.08780146390199661,0.6888367359717331,0.08923513442277908,0.6778789909709413,0.954795
no physics loss,sage,False,-,0.9769365787506104,0.9498199539094595,0.6933142634883124,0.7719979882240295,0.0879334807395935,0.7166419620976026,0.08995915204286575,0.6879255025446321,0.08783206343650818,0.6868026599895373,0.08841507136821747,0.6818869293214775,0.954795
no graph (MLP encoder),none,True,-,0.9875908493995667,0.9834895918690567,0.7824269906815532,0.7938079833984375,0.07169003784656525,0.8117926589601323,0.0772429034113884,0.7714827343019167,0.07706429064273834,0.7691955800599084,0.07754318416118622,0.7772369894042552,0.757419
no climate stream,sage,True,climate,0.9758084416389465,0.9445509068474041,0.64531457444938,0.7398470789194107,0.10131664574146271,0.660737136323827,0.10255064815282822,0.6227406929871322,0.0993216410279274,0.6383931799559541,0.09669996052980423,0.6593872885306067,0.954795
no vision stream,sage,True,vision,0.662697434425354,0.48961432518584974,0.735968297976592,0.7701491564512253,0.08108752220869064,0.7705884186513545,0.0847327709197998,0.7375471874916335,0.08395946770906448,0.7284250193062671,0.08658293634653091,0.7073125664571132,0.954795
encoder = GCN,gcn,True,-,0.9671596884727478,0.9260344761485505,0.7164916540954231,0.7735334634780884,0.08615092188119888,0.7375010516338607,0.08774841576814651,0.7098702541133073,0.08542213588953018,0.7134999787917206,0.08655095845460892,0.7050953318428037,0.823723
FULL on RANDOM split (leaky),sage,True,random-split,0.9807190299034119,0.9526248773052156,0.7837806255304964,0.7889352291822433,0.07440879195928574,0.7988212318661231,0.07664113491773605,0.7714510854480592,0.07447051256895065,0.7852664243952657,0.07632272690534592,0.7795837604125381,0.954795
