epoch,loss,ce,risk_nll,risk_band_ce,physics,phys_infection_pressure,phys_dry_suppression,phys_monotonic_horizon,phys_diffusion,val_acc,val_macro_f1,val_risk_mae_h0,val_risk_r2_h0,val_band_acc_h0,val_risk_mae_h1,val_risk_r2_h1,val_band_acc_h1,val_risk_mae_h2,val_risk_r2_h2,val_band_acc_h2,val_risk_mae_h3,val_risk_r2_h3,val_band_acc_h3,val_risk_r2_mean,val_band_acc_mean
0,4.242037296295166,3.698014497756958,-0.025696255266666412,1.1124800443649292,0.044931039214134216,0.017955247312784195,0.000664263148792088,0.08617004007101059,0.001585291582159698,0.17972181737422943,0.04561171524021522,0.20441138744354248,-0.10008294030516329,0.3745729625225067,0.19460736215114594,-0.09095028693303298,0.36432406306266785,0.1897585690021515,-0.042422136334794525,0.43875062465667725,0.18146798014640808,-0.01308966497558739,0.3347974717617035,-0.061636257137144546,0.3781112805008888
1,3.864595890045166,3.4642717838287354,-0.15968957543373108,1.1049610376358032,0.025110865011811256,0.01683487743139267,0.0002844373811967671,0.02465951070189476,0.0014718322781845927,0.25414836406707764,0.07261163074856297,0.2035181075334549,-0.08921448684268429,0.41544654965400696,0.1929059773683548,-0.07428687228892672,0.3953147828578949,0.19101084768772125,-0.050945860743536686,0.44228893518447876,0.1822672039270401,-0.017297933423559453,0.3347974717617035,-0.05793628832467679,0.396961934864521
2,3.591240644454956,3.3036341667175293,-0.2677978277206421,1.1002100706100464,0.017664529383182526,0.01579396240413189,0.00010881725029321387,0.0037968247197568417,0.0013542256783694029,0.3195461332798004,0.10586089028248354,0.20185652375221252,-0.07084867105457682,0.4396046996116638,0.19143074750900269,-0.05732873379513337,0.41886284947395325,0.19131217896938324,-0.05264073439786121,0.4385066032409668,0.18253673613071442,-0.018476425494099002,0.3347974717617035,-0.0498236411854176,0.40794290602207184
3,3.376594066619873,3.1824615001678467,-0.358751505613327,1.0967166423797607,0.015085453167557716,0.014348204247653484,4.8322057409677655e-05,0.0003109638928435743,0.0012395981466397643,0.3734748661518097,0.13318919221043968,0.1999569535255432,-0.051884754583869874,0.46900928020477295,0.19019219279289246,-0.043649884656353555,0.44167888164520264,0.1909220963716507,-0.049558054686868136,0.4255734384059906,0.18235240876674652,-0.017519203014850104,0.3347974717617035,-0.04065297423548542,0.4177647680044174
4,3.191103458404541,3.0762851238250732,-0.4354380965232849,1.0925641059875488,0.0132483821362257,0.01265411265194416,1.3308627785590943e-05,7.977915811352432e-05,0.0011273626005277038,0.40458759665489197,0.1571031647637207,0.19781965017318726,-0.032140717214807824,0.5019521713256836,0.18907305598258972,-0.03213128030107648,0.4752318263053894,0.19003169238567352,-0.04252949934502537,0.4180087745189667,0.18183769285678864,-0.014789128766532489,0.3347974717617035,-0.03039765640686054,0.4324975609779358
5,3.025514841079712,2.978841781616211,-0.5018694996833801,1.0897717475891113,0.012189049273729324,0.011616600677371025,1.60266845341539e-05,8.418410288868472e-05,0.0010783607140183449,0.42581745982170105,0.17787465572333952,0.19524341821670532,-0.00925245448505363,0.5102488994598389,0.18783976137638092,-0.020152500928708683,0.519033670425415,0.18874047696590424,-0.03217604368447313,0.4145924746990204,0.18108253180980682,-0.010522329605311631,0.3347974717617035,-0.01802583217588677,0.44466812908649445
6,2.870147943496704,2.8835113048553467,-0.5605190396308899,1.0876127481460571,0.011164357885718346,0.010583694092929363,3.377154143890948e-06,0.00014063308481127024,0.001073570572771132,0.4553440809249878,0.2076393052139826,0.19221337139606476,0.017086937915158695,0.5090287923812866,0.18643544614315033,-0.00660873089574987,0.534773051738739,0.18709112703800201,-0.018988030197908623,0.41532453894615173,0.18013735115528107,-0.004935859805466514,0.3347974717617035,-0.003361420745991578,0.4484809637069702
7,2.7186331748962402,2.7874999046325684,-0.6145516633987427,1.08523690700531,0.01022072322666645,0.009613602422177792,1.2614615116035566e-05,0.0002573286183178425,0.0010472317226231098,0.48230844736099243,0.22644899266499247,0.1889079362154007,0.045836059739562396,0.514641284942627,0.18488463759422302,0.00897086055918539,0.5394094586372375,0.18518751859664917,-0.0039784667757418735,0.4241093099117279,0.1790790557861328,0.0016134298617894727,0.3347974717617035,0.013110470846198846,0.453239381313324
8,2.576300621032715,2.698023557662964,-0.6656609177589417,1.0823352336883545,0.009234439581632614,0.008547701872885227,1.3416454748949036e-05,0.0005068496684543788,0.0010559478541836143,0.49829185009002686,0.23948748278341628,0.18566779792308807,0.0747188788897678,0.5172035098075867,0.1833682656288147,0.025764568795207943,0.5397754907608032,0.18320153653621674,0.011484489096250217,0.4369204342365265,0.1779993176460266,0.008526618863128999,0.3347974717617035,0.03012363891108874,0.45717422664165497
9,2.4407334327697754,2.6114115715026855,-0.7136043906211853,1.080538272857666,0.008856951259076595,0.008041482418775558,1.4506015759252477e-05,0.000912729708943516,0.0010687927715480328,0.5137872099876404,0.2542507968936237,0.18273945152759552,0.10192388653209883,0.5222059488296509,0.18205580115318298,0.04298055077819474,0.5392874479293823,0.1812630593776703,0.02648057346466537,0.4480234384536743,0.1769331395626068,0.015433519440731125,0.3347974717617035,0.046704632553922515,0.46107857674360275
